country,education_change_rate,life_expectancy_change_rate
Afghanistan,0.06086221585671107,0.5565
Albania,0.12811363538106282,0.3728499999999999
Algeria,0.10279680093129474,0.5475166666666668
Argentina,0.06829648150338066,0.3116888814814815
Australia,0.07441640281677246,0.26315200800000005
Austria,0.05612907239368984,0.3301571285714286
Bangladesh,0.08805215259393058,0.5137833333333333
Barbados,0.08147950172424316,0.43383333333333324
Belgium,0.06330376011984688,0.2797999857142857
Belize,0.06672326723734537,0.28751666666666664
Benin,0.06757851044336954,0.44366666666666676
Bolivia,0.07574028765613385,0.3818818181818182
Brazil,0.06913941014896739,0.4056272727272727
Bulgaria,0.08654486049305309,0.3047454454545454
Cambodia,0.07159299071018513,0.4855384615384616
Cameroon,0.09481418828169505,0.28860000000000013
Canada,0.08031350865083585,0.25990588235294126
Chile,0.07972753806547685,0.4525363636363636
China,0.09990562722086907,0.5301124999999999
Colombia,0.0773077054457231,0.42203636363636354
Costa Rica,0.05949834695568791,0.35966147407407395
Cote d'Ivoire,0.06787770887215933,0.4015833333333333
Cuba,0.09307753552090038,0.42125454545454555
Cyprus,0.09548205344573311,0.3558086869565218
Czech Republic,0.07077962910687483,0.3159674148148148
Democratic Republic of Congo,0.052880769968032836,0.30945
Denmark,0.06800780636923653,0.2388999928571428
Dominican Republic,0.0739785224199295,0.5755750000000001
Ecuador,0.08993719418843588,0.4610666666666667
Egypt,0.08725519478321074,0.43686247499999986
El Salvador,0.0753767066531711,0.48011111111111104
Fiji,0.10969047943751015,0.2229333333333334
Finland,0.07814411874170657,0.2856903555555555
France,0.07595144893441881,0.32227143571428574
Gambia,0.05841710617144903,0.49938333333333335
Germany,0.0750943766699897,0.30928889629629625
Ghana,0.11602502663930257,0.33181666666666665
Greece,0.09934609995947943,0.3987786666666666
Guatemala,0.039729666168039496,0.4316454545454546
Guyana,0.07533650696277619,0.3329574875
Haiti,0.07612505555152893,0.4092333333333334
Honduras,0.05646028651131524,0.492411111111111
Hong Kong,0.12893730004628498,0.34611666666666646
Hungary,0.07711662379178134,0.3377462
Iceland,0.07626833404813495,0.31043571428571426
India,0.06043898860613506,0.40679047619047615
Indonesia,0.11459623575210572,0.4803666666666666
Iran,0.1425596276919047,0.5746833333333333
Iraq,0.11972615669171015,0.5616999999999999
Ireland,0.10043009916941324,0.24226666666666669
Italy,0.07237127357059055,0.3750222222222222
Jamaica,0.07363525867462158,0.289904008
Japan,0.08507810703345706,0.331274
Jordan,0.14187641143798826,0.47774999999999984
Kenya,0.08286092464740459,0.4944092461538461
Kuwait,0.07989715735117595,0.3724166666666667
Lesotho,0.05807278156280519,0.019683333333333407
Liberia,0.06295077502727509,0.4571333333333334
Libya,0.13263993362585705,0.5795499999999999
Luxembourg,0.10622549596286955,0.32518095238095246
Malawi,0.06720109383265177,0.35134999999999983
Malaysia,0.1445472240447998,0.35318333333333324
Mali,0.033073456088701894,0.48071666666666674
Malta,0.12898209492365523,0.2790499999999999
Mauritius,0.1155177632967631,0.4229333333333333
Mexico,0.07307770874189294,0.39604347826086955
Morocco,0.08290930390357971,0.4890833333333334
Mozambique,0.025141193469365438,0.30923333333333336
Myanmar,0.06562126477559407,0.4917833333333333
Nepal,0.07216264878710112,0.5499833333333335
Netherlands,0.06263712814876012,0.31055
New Zealand,0.029613002141316732,0.19263333333333346
Nicaragua,0.06159094174702962,0.5380888888888888
Niger,0.023877068928309847,0.32660739999999994
Norway,0.053171127183096745,0.2164714428571429
Pakistan,0.07034693559010824,0.5028833333333332
Panama,0.09049880206584933,0.5099
Paraguay,0.0656413733959198,0.433209090909091
Peru,0.09825216702052525,0.5344285714285714
Philippines,0.1049348076184591,0.24903333333333347
Poland,0.10173530578613281,0.2865
Portugal,0.10073579720088414,0.40864287142857153
Reunion,0.09005318482716879,0.5604166666666667
Romania,0.11220448811848958,0.21596666666666664
Russia,0.1054711715741591,0.34740909090909095
Senegal,0.02571388941544752,0.5459077076923076
Serbia,0.11551542282104492,0.26543333333333335
Sierra Leone,0.06450325946013133,0.3575833333333333
South Africa,0.09468969504038491,0.23441666666666663
South Korea,0.1386445681254069,0.74765
Spain,0.06802748983556575,0.4281818272727273
Sri Lanka,0.10556635856628419,0.38852001333333325
Sudan,0.052309533953666686,0.3224333333333333
Swaziland,0.06756605307261149,0.11996666666666679
Sweden,0.05967223984854562,0.26102856428571425
Switzerland,0.06494463407076322,0.30683845384615377
Syria,0.10262971619764964,0.4278666666666666
Taiwan,0.1466928084691366,0.3866000000000001
Thailand,0.10524598757425947,0.4045833333333333
Togo,0.09548236032327016,0.3923500000000001
Trinidad and Tobago,0.0967072089513143,0.2529666666666666
Tunisia,0.12193070153395334,0.6124666666666666
Turkey,0.10492478410402933,0.5721833333333334
Uganda,0.07887676495772143,0.4353692461538461
United Kingdom,0.08239766870226178,0.2839071428571429
United States,0.06429865176861103,0.3018615384615385
Uruguay,0.06973837668245489,0.25227272727272726
Venezuela,0.0758437535979531,0.4103090909090909
Yemen,0.06359952216347059,0.6075333333333333
Zambia,0.09269354740778604,0.22248333333333328
Zimbabwe,0.10336918632189435,0.030149999999999958
