Region,Country,Year,Sex,Primary enrollment (%),Secondary enrollment (%),Tertiary enrollment (%),No schooling (%),Primary schooling (%),Primary schooling complete (%),Secondary schooling (%),Secondary schooling complete (%),Tertiary schooling (%),Tertiary schooling complete (%),Total schooling (years),Total primary schooling (years),Total secondary schooling (years),Total tertiary schooling (years),Human capital,Human capital adjusted,Population (thousands),Life expectancy (years)
Advanced Economies,Australia,1885,F,58.430358887,0.547326863,0.026115352,48.631771088,48.108985901,12.767380714,3.245862722,0.615729153,0.020351900,0.007107321,2.133520842,2.022263765,0.110708050,0.000549183,1.237820387,1.591997743,698.317687988,49.049999
Advanced Economies,Australia,1895,F,52.051582336,1.196562648,0.059183445,41.545539856,52.802021027,14.805514336,5.624459267,1.181808352,0.031552758,0.009176036,2.562349081,2.367586851,0.193947583,0.000814584,1.292056203,1.782443643,998.896362305,52.950001
Advanced Economies,Australia,1905,F,60.406288147,2.545098543,0.129076049,28.711498260,61.077350616,18.581583023,10.156290054,2.561207771,0.054862943,0.014133601,3.362473249,3.002437353,0.358656019,0.001379956,1.399685144,2.127332449,1226.731933594,57
Advanced Economies,Australia,1925,F,77.115707397,10.423064232,0.569216907,10.712317467,61.745948792,24.210557938,23.445055008,7.122744560,4.096684456,1.168684602,5.387147903,4.231199741,1.050640821,0.105307318,1.713802814,3.305862188,1902.275146484,63.16
Advanced Economies,Australia,1930,F,81.293060303,14.378821373,0.814931095,7.992402077,58.697914124,24.681159973,28.289735794,9.022065163,5.019949913,1.504209995,5.910567284,4.499953270,1.280130863,0.130483240,1.805895805,3.583981276,2154,64.889999
Advanced Economies,Australia,1935,F,85.470413208,14.973808289,1.161658406,5.829698563,54.885337830,24.915473938,33.291431427,11.131133080,5.993534565,1.884482026,6.429724693,4.751121998,1.521042228,0.157560483,1.902126551,3.856606245,2154,65.089996
Advanced Economies,Australia,1940,F,89.647766113,19.008707047,1.648646593,4.430081367,51.415233612,25.087556839,37.284835815,13.182820320,6.869857311,2.306957960,6.853596210,4.944365501,1.725694299,0.183536351,1.984485388,4.082879543,2314.062011719,66.230003
Advanced Economies,Australia,1945,F,93.825119019,23.972959518,2.156323671,2.989878893,47.831233978,24.623853683,41.459400177,15.445958138,7.719483852,2.749979734,7.272450447,5.124385357,1.938675404,0.209389418,2.069371700,4.300646305,2496,68.449997
Advanced Economies,Australia,1950,F,98.002471924,34.970230103,5.552051544,1.167580247,44.256046295,28.720708847,45.369373322,21.838220596,9.206999779,4.185260773,7.989925861,5.463884830,2.258195639,0.267845243,2.223299980,4.684083939,2645,68.845
Advanced Economies,Australia,1955,F,100,39.663768768,3.434281826,1.005533218,39.719032288,23.559362411,49.188709259,25.491008759,10.086726189,4.585329056,8.238136292,5.454877853,2.489817619,0.293441057,2.279175282,4.826048851,2817,69.998
