Region,Country,Year,Sex,Primary enrollment (%),Secondary enrollment (%),Tertiary enrollment (%),No schooling (%),Primary schooling (%),Primary schooling complete (%),Secondary schooling (%),Secondary schooling complete (%),Tertiary schooling (%),Tertiary schooling complete (%),Total schooling (years),Total primary schooling (years),Total secondary schooling (years),Total tertiary schooling (years),Human capital,Human capital adjusted,Population (thousands),Life expectancy (years),SuicideRate (%)
Advanced Economies,Australia,1990,F,98,79,38.200000763,1.005928040,9.345088005,4.781709194,62.994388580,52.383964539,26.684320450,14.937208176,11.360220909,5.804526806,4.723263741,0.832430542,3.114355087,5.442974567,5564,76.933,12.800082233
Advanced Economies,Australia,1995,F,99.849060059,90,73.5,1.203545451,10.283523560,5.824514389,56.991340637,49.636764526,31.521585464,17.059700012,11.481852531,5.794016838,4.716210365,0.971625686,3.152466774,5.362917423,5977,78.267,12.806768105
Advanced Economies,Australia,2000,F,95,100,72,0.827707171,10.606264114,6.376785755,63.099124908,57.941089630,25.466903687,15.557512283,11.388456345,5.823452950,4.744515419,0.820488334,3.123161077,5.167377949,6388,79.592,12.443258565
Advanced Economies,Australia,2005,F,95,100,79,0.654663026,9.061347008,5.771603584,59.102081299,55.182559967,31.181907654,19.403844833,11.780900955,5.862027645,4.907158375,1.011714816,3.248164654,5.169419289,6853,80.952,10.414252584
Advanced Economies,Australia,2010,F,97,100,93,0.534649551,7.237514019,4.685125351,58.913604736,35.520599365,33.314228058,21.755329132,11.767972946,5.986990929,4.679590702,1.101391196,3.243968010,6.177690983,7239,81.944,10.758436530
Advanced Economies,Australia,1990,M,98,77.042739868,32.881328583,0.790933073,8.646112442,5.763333797,63.717712402,54.576744080,26.816381454,16.328355789,11.524333000,5.864329338,4.797109604,0.862894654,3.165887117,5.396215916,5732,76.933,12.800082233
Advanced Economies,Australia,1995,M,99.849060059,88.042144775,69.948974609,1.028050661,9.650108337,6.765249252,60.451385498,53.870628357,28.870454788,16.749137878,11.532867432,5.851770878,4.768704414,0.912391663,3.168590069,5.297313213,5964,78.267,12.806768105
Advanced Economies,Australia,2000,M,95,99.989997864,58.136817932,0.709319472,10.231884956,7.446118832,67.744934082,62.999584198,21.313861847,13.922153473,11.347895622,5.873867512,4.769307613,0.704720378,3.110518932,5.094989300,6323,79.592,12.443258565
Advanced Economies,Australia,2005,M,95,99.989997864,63.246551514,0.561469913,9.404022217,7.081691265,64.562767029,61.039524078,25.471742630,16.638341904,11.630592346,5.896642208,4.891748905,0.842201829,3.199707031,5.089141369,6788,80.952,10.414252584
Advanced Economies,Australia,2010,M,95.051551819,99.989997864,67.642250061,0.470236003,7.895110130,6.055344582,64.430160522,43.213794708,27.204490662,18.450859070,11.612728119,6.017838478,4.681782246,0.913107157,3.193995953,6.023953915,7181,81.944,10.758436530
Advanced Economies,Australia,1990,MF,98,78,35.5,0.896831810,8.990402222,5.287678719,63.361434937,53.505332947,26.751333237,15.594446182,11.442933083,5.835108280,4.760909557,0.846915603,3.140221357,5.419685841,11296,76.933,12.800082233
Advanced Economies,Australia,1995,MF,99.849060059,89,71.699996948,1.115893483,9.967161179,6.308005333,58.719478607,51.745876312,30.197463989,16.873073578,11.507000923,5.823271751,4.742318153,0.941410899,3.160404682,5.330775261,11941,78.267,12.806768105
Advanced Economies,Australia,2000,MF,95,100,65,0.768815994,10.420031548,6.924474239,65.410148621,60.447074890,23.401000977,14.732593536,11.368317604,5.849004269,4.756641388,0.762671947,3.116877794,5.132241249,12711,79.592,12.443258565
Advanced Economies,Australia,2005,MF,95,100,71,0.608288467,9.231867790,6.423510075,61.819412231,58.080947876,28.340431213,18.020021439,11.705621719,5.879251957,4.899160862,0.927209139,3.223804474,5.130573273,13641,80.952,10.414252584
Advanced Economies,Australia,2010,MF,96,100,80,0.502572298,7.564989567,5.354429245,61.660793304,39.237274170,30.271646500,20.110784531,11.687997818,6.001960754,4.678387642,1.007648587,3.218127966,6.104274750,14420,81.944,10.758436530
Advanced Economies,Austria,1990,F,91,90,32.799999237,0.853474915,43.561725616,32.794860840,50.672676086,31.099620819,4.912120819,3.018619537,7.573000431,3.750523567,3.663861513,0.158614770,2.132510662,4.639355659,2608,75.596,19.844591469
Advanced Economies,Austria,1995,F,97.970001221,95.949996948,46.799999237,1.330112696,36.070545197,27.899353027,53.863349915,34.556907654,8.735991478,4.852771759,8.290836334,3.783371449,4.235689163,0.271775335,2.291218281,4.938723087,2680,76.823,18.550008019
Advanced Economies,Austria,2000,F,100,93.648208618,59,1.502122998,31.114753723,24.461351395,55.432819366,37.291198730,11.950302124,6.909469128,8.849027634,3.806847095,4.664985180,0.377195328,2.422748804,5.134653568,2715,78.239,15.916629666
Advanced Economies,Austria,2005,F,98.926193237,97.550216675,51,1.521678567,26.194198608,20.926000595,59.295299530,42.168655396,12.988825798,8.271969795,9.356649399,3.833769083,5.097664356,0.425215811,2.548907757,5.261196613,2748,79.567,13.797734613
Advanced Economies,Austria,2010,F,97.860130310,96.736801147,74,1.516184926,22.969282150,18.565204620,60.632186890,43.496559143,14.882346153,9.576013565,9.696175575,3.851270914,5.355737686,0.489167213,2.636935711,5.352263927,2739,80.622,12.782929560
Advanced Economies,Austria,1990,M,91,90,37.513202667,1.423608065,28.148622513,22.283775330,64.327613831,47.032604218,6.100154877,4.137671947,8.972936630,3.825758696,4.942421436,0.204756618,2.452955484,5.084659100,2619,75.596,19.844591469
Advanced Economies,Austria,1995,M,96.079536438,99.682975769,46.406970978,1.956741214,22.411302567,18.140167236,64.507766724,47.872173309,11.124183655,6.867893219,9.581281662,3.836307526,5.385132790,0.359841645,2.606812477,5.262614250,2737,76.823,18.550008019
Advanced Economies,Austria,2000,M,99.989997864,98.196258545,55.040561676,1.789196134,19.461444855,15.918745041,64.098022461,48.898178101,14.651335716,9.228999138,10.027139664,3.857578278,5.691955090,0.477606744,2.725669146,5.358327866,2778,78.239,15.916629666
Advanced Economies,Austria,2005,M,98.592460632,98.289978027,43.133205414,1.742513776,16.561573029,13.736596107,64.492866516,50.435531616,17.203048706,11.651180267,10.424263954,3.873799801,5.973379612,0.577084661,2.836090088,5.422178268,2803,79.567,13.797734613
Advanced Economies,Austria,2010,M,97.235557556,96.044425964,64.149406433,1.709020138,15.723361015,13.161211014,64.789894104,51.732254028,17.777721405,12.091898918,10.560892105,3.880396128,6.083104134,0.597392261,2.875105143,5.417782307,2838,80.622,12.782929560
Advanced Economies,Austria,1990,MF,91,90,35.200000763,1.139141321,35.838958740,27.608194351,57.514514923,38.604957581,5.507387638,3.530986547,8.255955696,3.789819241,4.285369396,0.180767626,2.283240080,4.891104221,5227,75.596,19.844591469
Advanced Economies,Austria,1995,MF,97,97.849998474,46.599998474,1.646723747,29.169059753,23.030113220,59.241565704,40.939903259,9.942652702,5.801915646,8.928914070,3.811352015,4.802670956,0.314891338,2.442180872,5.129467010,5417,76.823,18.550008019
Advanced Economies,Austria,2000,MF,100,95.969451904,57,1.647305727,25.221273422,20.173545837,59.815113068,42.910533905,13.316308975,7.996819019,9.433746338,3.833153486,5.174330711,0.426262498,2.568634987,5.272223473,5493,78.239,15.916629666
Advanced Economies,Austria,2005,MF,98.755371094,97.928009033,47,1.633190155,21.330163956,17.312084198,61.919830322,46.207271576,15.116814613,9.878221512,9.888640404,3.854310751,5.534429550,0.499900728,2.688179016,5.363212585,5551,79.567,13.797734613
Advanced Economies,Austria,2010,MF,97.539306641,96.383407593,69,1.614314198,19.282009125,15.817142487,62.747943878,47.560764313,16.355731964,10.774239540,10.129536629,3.866130114,5.720807076,0.542599320,2.753722668,5.404003620,5577,80.622,12.782929560
Advanced Economies,Belgium,1990,F,97,88,39.599998474,4.237675190,21.400012970,15.888707161,54.320346832,26.140522003,20.041969299,13.332126617,9.864226341,5.580400467,3.616344213,0.667481959,2.681624174,5.713471413,3314,75.862,17.604614312
Advanced Economies,Belgium,1995,F,85.680000305,86.069999695,54.799999237,3.924657106,15.903698921,11.637563705,55.627964020,33.106544495,24.543678284,15.464748383,10.571360588,5.636536598,4.134655952,0.800168514,2.878116369,5.872436047,3327,76.907,19.021236935
Advanced Economies,Belgium,2000,F,97.074279785,100,61,3.332964420,10.868377686,7.685547352,58.746044159,32.795654297,27.052610397,16.189266205,10.938782692,5.704537392,4.369407654,0.864837348,2.985831499,6.008833885,3347,77.867,18.497711462
Advanced Economies,Belgium,2005,F,97.981086731,100,68,4.461818218,10.050641060,6.908407211,56.070140839,35.611034393,29.417398453,17.881097794,11.099473000,5.638023376,4.515479088,0.945969939,3.034198523,5.947078705,3377,78.975,16.432605135
Advanced Economies,Belgium,2010,F,100,98.420288086,75,4.243765831,8.834980965,5.858373165,54.292407990,35.335498810,32.628849030,20.106348038,11.307571411,5.656075954,4.596792221,1.054703712,3.098001242,5.969580650,3423,80.072,16.173554846
Advanced Economies,Belgium,1990,M,95.046875,86.042762756,40.776416779,4.215475082,18.718153000,14.185070038,55.508850098,26.575183868,21.557523727,16.540897369,10.129019737,5.611079216,3.755972385,0.761968434,2.753580332,5.838571072,3360,75.862,17.604614312
Advanced Economies,Belgium,1995,M,87.319458008,80.483444214,54.014125824,3.747957706,14.539840698,10.867815971,57.445049286,33.706920624,24.267152786,18.250534058,10.705903053,5.664961815,4.190587997,0.850353658,2.917100906,5.943061352,3377,76.907,19.021236935
Advanced Economies,Belgium,2000,M,97.315124512,99.989997864,55.078548431,3.026273251,10.294272423,7.410954475,61.778118134,33.961139679,24.901336670,18.464336395,10.965495110,5.731924057,4.366257668,0.867313266,2.993818045,6.052383900,3418,77.867,18.497711462
Advanced Economies,Belgium,2005,M,97.669845581,99.989997864,56.117237091,3.969838858,9.384131432,6.576224804,60.123031616,37.239292145,26.522994995,19.609046936,11.112462997,5.677572250,4.512249470,0.922640979,3.038142443,5.998970985,3461,78.975,16.432605135
Advanced Economies,Belgium,2010,M,99.989997864,95.396514893,61.087303162,3.653304100,8.620150566,5.868302345,59.083396912,37.726703644,28.643146515,21.066431046,11.265497208,5.698246002,4.573059559,0.994191468,3.084994078,6.006576538,3514,80.072,16.173554846
Advanced Economies,Belgium,1990,MF,96,87,40.200000763,4.226498604,20.049840927,15.037722588,54.918689728,26.375617981,20.804967880,14.874748230,9.996767998,5.596046925,3.687127352,0.713594198,2.717403412,5.775974274,6674,75.862,17.604614312
Advanced Economies,Belgium,1995,MF,86.519996643,83.220001221,54.400001526,3.835648537,15.216683388,11.253763199,56.543285370,33.434806824,24.404382706,16.828731537,10.639242172,5.650973320,4.163605690,0.824662328,2.897720098,5.907223701,6704,76.907,19.021236935
Advanced Economies,Belgium,2000,MF,97.197525024,100,58,3.178009510,10.578311920,7.547523022,60.277992249,33.421165466,25.965684891,17.357828140,10.953782082,5.718396187,4.368915558,0.866470277,2.990313530,6.030943871,6765,77.867,18.497711462
Advanced Economies,Belgium,2005,MF,97.822143555,100,62,4.212806702,9.713293076,6.743285656,58.121482849,36.468498230,27.952419281,18.801824570,11.108060837,5.658131123,4.514844894,0.935084939,3.036805391,5.973926067,6838,78.975,16.432605135
