Region,Country,Year,Sex,Primary enrollment (%),Secondary enrollment (%),Tertiary enrollment (%),No schooling (%),Primary schooling (%),Primary schooling complete (%),Secondary schooling (%),Secondary schooling complete (%),Tertiary schooling (%),Tertiary schooling complete (%),Total schooling (years),Total primary schooling (years),Total secondary schooling (years),Total tertiary schooling (years),Human capital,Human capital adjusted,Population (thousands),Life expectancy (years),SuicideRate (%)
Advanced Economies,Australia,1820,F,21.600942612,0,0,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1825,F,23.790178299,0,0,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1830,F,26.128276825,0.001516035,0,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1835,F,28.611013412,0.003977601,0,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1840,F,31.231254578,0.008068678,0,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1845,F,33.978824615,0.014663649,0,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1850,F,36.840473175,0.025062537,0.000512756,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1855,F,39.800010681,0.041186467,0.001204073,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1860,F,42.838554382,0.065858953,0.002319039,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1865,F,45.934959412,0.103209078,0.004070398,,,,,,,,,,,,,,,,
Advanced Economies,Australia,1870,F,49.066364288,0.159246370,0.006768207,64.625549316,35.302574158,8.566478729,0.071330369,0.019550955,0.020000000,0.010495686,1.325692296,1.321551442,0.003530930,0.000609927,1.141758084,1.246867537,398,,
Advanced Economies,Australia,1875,F,52.208843231,0.242675692,0.010861961,61.617080688,38.266212463,10.467007637,0.112695150,0.028559536,0.020000000,0.008973177,1.475489855,1.469958425,0.004952045,0.000579481,1.158990026,1.274677038,466.328582764,,
Advanced Economies,Australia,1880,F,55.338127136,0.366042644,0.017000297,54.880210876,44.738166809,11.809449196,0.371187359,0.079491146,0.020106293,0.007892065,1.734196901,1.719906092,0.013730758,0.000560014,1.189365149,1.343384385,579,,
Advanced Economies,Australia,1885,F,58.430358887,0.547326863,0.026115352,48.631771088,48.108985901,12.767380714,3.245862722,0.615729153,0.020351900,0.007107321,2.133520842,2.022263765,0.110708050,0.000549183,1.237820387,1.591997743,698.317687988,49.049999,
Advanced Economies,Australia,1890,F,47.874229431,0.812123179,0.039541688,43.086734772,51.337112427,13.979550362,5.556871891,1.114561439,0.024046285,0.007647405,2.485188484,2.294354916,0.190199688,0.000633882,1.282124996,1.756527305,851,,
Advanced Economies,Australia,1895,F,52.051582336,1.196562648,0.059183445,41.545539856,52.802021027,14.805514336,5.624459267,1.181808352,0.031552758,0.009176036,2.562349081,2.367586851,0.193947583,0.000814584,1.292056203,1.782443643,998.896362305,52.950001,
